"ProjectCode","link","Role","NameInLatinCharacterSet","OrganisationType","City","CountryRegionDescription","CountryDescription","ActionType","ActionTypeDescription","CallYear","ProjectTitle","Acronym","DurationInMonths","Status","ProjectStartDate","ProjectEndDate","Initial awarded grant(IAG)","Topics","TopicDescriptions"
"2019-1-FI01-KA201-060780","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2019-1-FI01-KA201-060780","APP","TURUN YLIOPISTO","Higher education institution (tertiary level)","Turku","Varsinais-Suomi","Finland","KA201","Strategic Partnerships for school education",2019,"POLAR STAR: Guiding the way towards STEAM through innovative learning approaches and contemporary science","POLAR STAR",36,"Follow-up",01.09.19,31.08.22,314740,"TOPIC-3,TOPIC-21,TOPIC-23","ICT - new technologies - digital competences,Key Competences (incl. mathematics and literacy) - basic skills,New innovative curricula/educational methods/development of training courses"
"2019-1-FI01-KA201-060881","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2019-1-FI01-KA201-060881","APP","DIAKONIA-AMMATTIKORKEAKOULU OY","Higher education institution (tertiary level)","HELSINKI","Helsinki-Uusimaa","Finland","KA201","Strategic Partnerships for school education",2019,"Blended Learning for Inclusion","BLENDI",36,"Follow-up",01.09.19,31.08.22,324650,"TOPIC-7,TOPIC-3,TOPIC-18","Early School Leaving / combating failure in education,ICT - new technologies - digital competences,Inclusion - equity"
"2019-1-FI01-KA201-060895","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2019-1-FI01-KA201-060895","APP","NUORI YRITTAJYYS RY","Non-governmental organisation/association","HELSINKI","Helsinki-Uusimaa","Finland","KA201","Strategic Partnerships for school education",2019,"Social Entrepreneurship Student Companies in the Baltic Sea Region","GOALS",36,"Follow-up",01.09.19,31.08.22,240677,"TOPIC-12,TOPIC-71,TOPIC-41","Enterprise, industry and SMEs (incl. entrepreneurship),Social entrepreneurship / social innovation,Entrepreneurial learning - entrepreneurship education"
"2019-1-FI01-KA202-060714","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2019-1-FI01-KA202-060714","APP","TAMPEREEN KAUPUNKI","Local Public body","TAMPERE",,"Finland","KA202","Strategic Partnerships for vocational education and training",2019,"Team Teaching in Welfare Technology","Team We",24,"Follow-up",01.09.19,31.08.21,147682,"TOPIC-25,TOPIC-23,TOPIC-72","Pedagogy and didactics,New innovative curricula/educational methods/development of training courses,Cooperation between educational institutions and business"
"2019-1-FI01-KA202-060727","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2019-1-FI01-KA202-060727","APP","Salpaus Further Education Regional Consortium","School/Institute/Educational centre – Vocational Training (secondary level)","Lahti","Päijät-Häme","Finland","KA202","Strategic Partnerships for vocational education and training",2019,"New skills for VET teachers","NSVETT",24,"Follow-up",01.09.19,31.08.21,66110,"TOPIC-25,TOPIC-28,TOPIC-72","Pedagogy and didactics,Quality Improvement Institutions and/or methods (incl. school development),Cooperation between educational institutions and business"
"2019-1-FI01-KA202-060749","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2019-1-FI01-KA202-060749","APP","Itä-Suomen Liikuntaopisto Oy","School/Institute/Educational centre – Vocational Training (secondary level)","Joensuu","Pohjois-Karjala","Finland","KA202","Strategic Partnerships for vocational education and training",2019,"Moving into Soft Skills","MOSS",24,"Follow-up",01.09.19,31.08.21,166105,"TOPIC-4,TOPIC-23,TOPIC-16","Creativity and culture,New innovative curricula/educational methods/development of training courses,Health and wellbeing"
"2019-1-FI01-KA202-060763","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2019-1-FI01-KA202-060763","APP","Svenska Framtidsskolan i Helsingforsregionen Ab","School/Institute/Educational centre – Vocational Training (secondary level)","Helsingfors","Helsinki-Uusimaa","Finland","KA202","Strategic Partnerships for vocational education and training",2019,"Entrepreneurial Learning for Future Sustainability","ELFS",36,"Follow-up",01.09.19,31.08.22,140815,"TOPIC-23,TOPIC-12,TOPIC-41","New innovative curricula/educational methods/development of training courses,Enterprise, industry and SMEs (incl. entrepreneurship),Entrepreneurial learning - entrepreneurship education"
"2019-1-FI01-KA202-060766","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2019-1-FI01-KA202-060766","APP","Suomen Diakoniaopisto SDO OY","School/Institute/Educational centre – Vocational Training (secondary level)","Helsinki","Helsinki-Uusimaa","Finland","KA202","Strategic Partnerships for vocational education and training",2019,"Strengthening Inclusion of students with special needs through Positive Pedagogy",,36,"Follow-up",01.09.19,31.08.22,78372,"TOPIC-25,TOPIC-19,TOPIC-18","Pedagogy and didactics,Intercultural/intergenerational education and (lifelong)learning,Inclusion - equity"
"2019-1-FI01-KA202-060773","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2019-1-FI01-KA202-060773","APP","Mercuria kauppaoppilaitos Oy","School/Institute/Educational centre – Vocational Training (secondary level)","VANTAA","Helsinki-Uusimaa","Finland","KA202","Strategic Partnerships for vocational education and training",2019,"Creative Minds - Service Designed Sustainable Startups","Creative Minds",28,"Follow-up",01.09.19,31.12.21,294118,"TOPIC-72,TOPIC-3,TOPIC-71","Cooperation between educational institutions and business,ICT - new technologies - digital competences,Social entrepreneurship / social innovation"
"2019-1-FI01-KA202-060805","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2019-1-FI01-KA202-060805","APP","Suomen ratsastusterapeutit ry","Social partner or other representative of working life (chambers of commerce, trade union, trade association)","Paltaniemi","Kainuu","Finland","KA202","Strategic Partnerships for vocational education and training",2019,"Best Practice in Equine Facilitated Interventions- Education",,26,"Follow-up",01.09.19,31.10.21,76780,"TOPIC-72,TOPIC-20,TOPIC-21","Cooperation between educational institutions and business,International cooperation, international relations, development cooperation,Key Competences (incl. mathematics and literacy) - basic skills"
"2019-1-FI01-KA202-060841","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2019-1-FI01-KA202-060841","APP","Careeria Oy","School/Institute/Educational centre – Vocational Training (secondary level)","Porvoo","Helsinki-Uusimaa","Finland","KA202","Strategic Partnerships for vocational education and training",2019,"Digital Vocational Education and Training for All","DigiVET4ALL",24,"Follow-up",01.09.19,31.08.21,183563,"TOPIC-25,TOPIC-3,TOPIC-23","Pedagogy and didactics,ICT - new technologies - digital competences,New innovative curricula/educational methods/development of training courses"
"2019-1-FI01-KA202-060859","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2019-1-FI01-KA202-060859","APP","Pohjois-Karjalan koulutuskuntayhtymä, Riveria","School/Institute/Educational centre – Vocational Training (secondary level)","Joensuu","Pohjois-Karjala","Finland","KA202","Strategic Partnerships for vocational education and training",2019,"DIG IT 2: Digital Storytelling Meets the World of Work","DIG IT 2",24,"Follow-up",01.09.19,31.08.21,192212,"TOPIC-3,TOPIC-41,TOPIC-25","ICT - new technologies - digital competences,Entrepreneurial learning - entrepreneurship education,Pedagogy and didactics"
"2019-1-FI01-KA202-060874","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2019-1-FI01-KA202-060874","APP","Helsingin kaupunki","Local Public body","Helsinki","Helsinki-Uusimaa","Finland","KA202","Strategic Partnerships for vocational education and training",2019,"To the TOP","TT",30,"Follow-up",01.09.19,28.02.22,88471,"TOPIC-23,TOPIC-20","New innovative curricula/educational methods/development of training courses,International cooperation, international relations, development cooperation"
"2019-1-FI01-KA202-060897","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2019-1-FI01-KA202-060897","APP","Hengitysliitto ry/Ammattiopisto Luovi","School/Institute/Educational centre – Vocational Training (secondary level)","Helsinki","Helsinki-Uusimaa","Finland","KA202","Strategic Partnerships for vocational education and training",2019,"From a rookie to an expert - International paths for VET staff","REX VET",24,"Follow-up",01.09.19,31.08.21,165305,"TOPIC-39,TOPIC-28,TOPIC-30","Open and distance learning,Quality Improvement Institutions and/or methods (incl. school development),Recognition (non-formal and informal learning/credits)"
"2019-1-FI01-KA202-060906","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2019-1-FI01-KA202-060906","APP","Seinäjoen koulutuskuntayhtymä","School/Institute/Educational centre – Vocational Training (secondary level)","Seinäjoki","Etelä-Pohjanmaa","Finland","KA202","Strategic Partnerships for vocational education and training",2019,"Sustainability-driven Entrepreneurship","SdE",36,"Follow-up",01.09.19,31.08.22,377656,"TOPIC-41,TOPIC-13,TOPIC-72","Entrepreneurial learning - entrepreneurship education,Environment and climate change,Cooperation between educational institutions and business"
"2019-1-FI01-KA202-060922","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2019-1-FI01-KA202-060922","APP","TYOTEHOSEURA RY","School/Institute/Educational centre – Adult education","RAJAMAKI",,"Finland","KA202","Strategic Partnerships for vocational education and training",2019,"Supporting and Reforming the Transport Operator's Competence - Developing a unified training package for the transport operator in Europe","TOC",30,"Follow-up",01.09.19,28.02.22,224206,"TOPIC-72,TOPIC-12,TOPIC-23","Cooperation between educational institutions and business,Enterprise, industry and SMEs (incl. entrepreneurship),New innovative curricula/educational methods/development of training courses"
"2019-1-FI01-KA203-060718","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2019-1-FI01-KA203-060718","APP","TURUN YLIOPISTO","Higher education institution (tertiary level)","Turku","Varsinais-Suomi","Finland","KA203","Strategic Partnerships for higher education",2019,"Creative and Design Thinking MOOC","CDTMOOC",28,"Follow-up",01.09.19,31.12.21,292181,"TOPIC-41,TOPIC-24,TOPIC-39","Entrepreneurial learning - entrepreneurship education,Overcoming skills mismatches (basic/transversal),Open and distance learning"
"2019-1-FI01-KA203-060755","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2019-1-FI01-KA203-060755","APP","TAMPEREEN KORKEAKOULUSAATIO SR","Higher education institution (tertiary level)","TAMPERE","Pirkanmaa","Finland","KA203","Strategic Partnerships for higher education",2019,"Youth and Social Circus Arts - an innovative and inclusive education for Europe","Circus++",36,"Follow-up",01.09.19,31.08.22,361833,"TOPIC-30,TOPIC-26,TOPIC-23","Recognition (non-formal and informal learning/credits),Quality and Relevance of Higher Education in Partner Countries,New innovative curricula/educational methods/development of training courses"
"2019-1-FI01-KA203-060811","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2019-1-FI01-KA203-060811","APP","TAMPEREEN KORKEAKOULUSAATIO SR","Higher education institution (tertiary level)","TAMPERE","Pirkanmaa","Finland","KA203","Strategic Partnerships for higher education",2019,"Intercultural Communication and Neighbourness Learning","WeLearn",36,"Follow-up",01.09.19,31.08.22,304960,"TOPIC-18,TOPIC-9,TOPIC-25","Inclusion - equity,Social dialogue,Pedagogy and didactics"
"2019-1-FI01-KA203-060862","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2019-1-FI01-KA203-060862","APP","TURUN AMMATTIKORKEAKOULU OY","Higher education institution (tertiary level)","TURKU","Varsinais-Suomi","Finland","KA203","Strategic Partnerships for higher education",2019,"Renewing Ergonomic Education for Health Care Students in European HEIs","RENE",36,"Follow-up",01.09.19,31.08.22,383180,"TOPIC-16,TOPIC-23","Health and wellbeing,New innovative curricula/educational methods/development of training courses"
"2019-1-FI01-KA203-060867","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2019-1-FI01-KA203-060867","APP","ITA-SUOMEN YLIOPISTO","Higher education institution (tertiary level)","KUOPIO","Pohjois-Savo","Finland","KA203","Strategic Partnerships for higher education",2019,"SAVINGSCAPES: Fostering collaborative knowledge creation and civic engagement in the field of landscape governance","SavingScapes",36,"Follow-up",01.09.19,31.08.22,383068,"TOPIC-69,TOPIC-13,TOPIC-70","Civic engagement / responsible citizenship,Environment and climate change,Cultural heritage/European Year of Cultural Heritage"
"2019-1-FI01-KA203-060877","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2019-1-FI01-KA203-060877","APP","JYVASKYLAN YLIOPISTO","Higher education institution (tertiary level)","JYVASKYLA",,"Finland","KA203","Strategic Partnerships for higher education",2019,"Computational Thinking and Acting","CoTA",36,"Follow-up",01.09.19,31.08.22,325740,"TOPIC-23,TOPIC-3","New innovative curricula/educational methods/development of training courses,ICT - new technologies - digital competences"
"2019-1-FI01-KA203-060911","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2019-1-FI01-KA203-060911","APP","TURUN AMMATTIKORKEAKOULU OY","Higher education institution (tertiary level)","TURKU","Varsinais-Suomi","Finland","KA203","Strategic Partnerships for higher education",2019,"Digital and Critical Views on Public Art Pedagogy","PARTGO",36,"Follow-up",01.09.19,31.08.22,310788,"TOPIC-26,TOPIC-20,TOPIC-23","Quality and Relevance of Higher Education in Partner Countries,International cooperation, international relations, development cooperation,New innovative curricula/educational methods/development of training courses"
"2019-1-FI01-KA204-060698","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2019-1-FI01-KA204-060698","APP","Työväen Akatemia","School/Institute/Educational centre – Adult education","Kauniainen","Helsinki-Uusimaa","Finland","KA204","Strategic Partnerships for adult education",2019,"IMPROVING GUIDANCE AND COUNSELLING IN ADULT LEARNING","IGCAL",24,"Follow-up",01.09.19,31.08.21,60911,"TOPIC-28,TOPIC-18","Quality Improvement Institutions and/or methods (incl. school development),Inclusion - equity"
"2019-1-FI01-KA204-060734","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2019-1-FI01-KA204-060734","APP","Learnmera Oy","School/Institute/Educational centre – Adult education","Espoo","Helsinki-Uusimaa","Finland","KA204","Strategic Partnerships for adult education",2019,"City Quiz & Walk","CQW",24,"Follow-up",01.09.19,31.08.21,178794,"TOPIC-19,TOPIC-55,TOPIC-23","Intercultural/intergenerational education and (lifelong)learning,Integration of refugees,New innovative curricula/educational methods/development of training courses"
"2019-1-FI01-KA204-060735","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2019-1-FI01-KA204-060735","APP","Opintotoiminnan Keskusliitto ry","School/Institute/Educational centre – General education (secondary level)","Helsinki","Helsinki-Uusimaa","Finland","KA204","Strategic Partnerships for adult education",2019,"Volunteering Management Expedition","VolExpo",24,"Follow-up",01.09.19,31.08.21,211780,"TOPIC-28,TOPIC-69","Quality Improvement Institutions and/or methods (incl. school development),Civic engagement / responsible citizenship"
"2019-1-FI01-KA204-060743","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2019-1-FI01-KA204-060743","APP","Ylä-Savo Municipal Federation of Education","School/Institute/Educational centre – Vocational Training (secondary level)","IISALMI","Pohjois-Savo","Finland","KA204","Strategic Partnerships for adult education",2019,"WIN on-line: Women In ActioN","WIN on-line",26,"Follow-up",01.10.19,30.11.21,262350,"TOPIC-41,TOPIC-3,TOPIC-23","Entrepreneurial learning - entrepreneurship education,ICT - new technologies - digital competences,New innovative curricula/educational methods/development of training courses"
"2019-1-FI01-KA204-060767","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2019-1-FI01-KA204-060767","APP","KEHITYSVAMMAISTEN PALVELUSAATIO","Foundation","TAMPERE",,"Finland","KA204","Strategic Partnerships for adult education",2019,"SKILLS II - Improving skills, changing lives.","SKILLS II",36,"Follow-up",01.09.19,31.08.22,232208,"TOPIC-5,TOPIC-18,TOPIC-20","Disabilities - special needs,Inclusion - equity,International cooperation, international relations, development cooperation"
"2019-1-FI01-KA204-060827","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2019-1-FI01-KA204-060827","APP","OLEMISEN BALANSSIA RY","Non-governmental organisation/association","RAISIO","Varsinais-Suomi","Finland","KA204","Strategic Partnerships for adult education",2019,"E-learning platform for up-skilling in fund-raising practice, financial digital literacy in NGO management","e-PATTERNS",24,"Follow-up",01.09.19,31.08.21,235371,"TOPIC-3,TOPIC-71,TOPIC-8","ICT - new technologies - digital competences,Social entrepreneurship / social innovation,Economic and financial affairs (incl. funding issues)"
"2019-1-FI01-KA204-060872","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2019-1-FI01-KA204-060872","APP","AAR SOCIAL DEVELOPMENT ASSOCIATION(ASDA) RY","Non-governmental organisation/association","HELSINKI","Helsinki-Uusimaa","Finland","KA204","Strategic Partnerships for adult education",2019,"Helping migrants to integrate in work environments","HelpMi",24,"Follow-up",01.09.19,31.08.21,168458,"TOPIC-10,TOPIC-55,TOPIC-59","Labour market issues incl. career guidance / youth unemployment,Integration of refugees,Migrants' issues"
"2019-1-FI01-KA205-060626","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2019-1-FI01-KA205-060626","APP","JOENSUUN KAUPUNKI","Local Public body","JOENSUU",,"Finland","KA205","Strategic Partnerships for youth",2019,"Youth card - evidence-based tool for improving youth work and activating youth","YOUTH-CARD",36,"Follow-up",03.06.19,02.06.22,213190,"TOPIC-32,TOPIC-38,TOPIC-31","Research and innovation,Youth (Participation, Youth Work, Youth Policy),Regional dimension and cooperation"
"2019-1-FI01-KA205-060661","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2019-1-FI01-KA205-060661","APP","NUORISO- JA MATKAILUKESKUS HYVARILAOY","Youth organisation","NURMES","Pohjois-Karjala","Finland","KA205","Strategic Partnerships for youth",2019,"TRADE Knowledge","TRADE",22,"Follow-up",30.09.19,30.07.21,33228,"TOPIC-38,TOPIC-20,TOPIC-70","Youth (Participation, Youth Work, Youth Policy),International cooperation, international relations, development cooperation,Cultural heritage/European Year of Cultural Heritage"
"2019-1-FI01-KA205-060668","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2019-1-FI01-KA205-060668","APP","KAAKKOIS-SUOMEN AMMATTIKORKEAKOULU OY","Higher education institution (tertiary level)","MIKKELI",,"Finland","KA205","Strategic Partnerships for youth",2019,"Empowering Youth - Successful youth work practices in Europe","EMPYRE",27,"Follow-up",01.09.19,30.11.21,263393,"TOPIC-38,TOPIC-19,TOPIC-23","Youth (Participation, Youth Work, Youth Policy),Intercultural/intergenerational education and (lifelong)learning,New innovative curricula/educational methods/development of training courses"
"2019-3-FI01-KA205-065939","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2019-3-FI01-KA205-065939","APP","Suomen Nuorten Miesten Kristillisten Yhdistysten Liitto ry","Non-governmental organisation/association","Helsinki","Helsinki-Uusimaa","Finland","KA205","Strategic Partnerships for youth",2019,"ACT – Activities, Competencies and Training on Social Inclusion","ACT",24,"Follow-up",01.04.20,31.03.22,91370,"TOPIC-19,TOPIC-18,TOPIC-55","Intercultural/intergenerational education and (lifelong)learning,Inclusion - equity,Integration of refugees"
"2019-3-FI01-KA205-065950","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2019-3-FI01-KA205-065950","APP","RAUHANKASVATUSINSTITUUTTI RY INSTITUTET FOR FREDSFOSTRAN RF","Non-governmental organisation/association","HELSINKI","Helsinki-Uusimaa","Finland","KA205","Strategic Partnerships for youth",2019,"Youth work preventing conflicts and fostering solidarity","YWPC",20,"Follow-up",01.02.20,30.09.21,197963,"TOPIC-9,TOPIC-2,TOPIC-18","Social dialogue,EU Citizenship, EU awareness and Democracy,Inclusion - equity"
"2018-1-FI01-KA201-047196","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2018-1-FI01-KA201-047196","APP","Närpes stad / Övermark skola","School/Institute/Educational centre – General education (primary level)","Övermark","Etelä-Pohjanmaa","Finland","KA201","Strategic Partnerships for school education",2018,"Music for children’s multicultural learning","MUSILIB",30,"Follow-up",01.09.18,28.02.21,221405,"TOPIC-4,TOPIC-25,TOPIC-59","Creativity and culture,Pedagogy and didactics,Migrants' issues"
"2018-1-FI01-KA201-047206","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2018-1-FI01-KA201-047206","APP","Vaalan kunnan sivistyspalvelut","Local Public body","Vaala","Kainuu","Finland","KA201","Strategic Partnerships for school education",2018,"Geoheritage and climate change for highlighting the professional perspective","GEOclimHOME-PRO",40,"Follow-up",01.09.18,31.12.21,298511,"TOPIC-23,TOPIC-13,TOPIC-11","New innovative curricula/educational methods/development of training courses,Environment and climate change,Energy and resources"
"2018-1-FI01-KA201-047215","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2018-1-FI01-KA201-047215","APP","TURUN YLIOPISTO","Higher education institution (tertiary level)","Turku","Varsinais-Suomi","Finland","KA201","Strategic Partnerships for school education",2018,"Enhancing STEM skills through arts and mini-games","G.A. STEM",30,"Follow-up",01.10.18,31.03.21,185693,"TOPIC-18,TOPIC-3,TOPIC-4","Inclusion - equity,ICT - new technologies - digital competences,Creativity and culture"
"2018-1-FI01-KA201-047297","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2018-1-FI01-KA201-047297","APP","TURUN AMMATTIKORKEAKOULU OY","Higher education institution (tertiary level)","TURKU","Varsinais-Suomi","Finland","KA201","Strategic Partnerships for school education",2018,"A Digital Program for Sexual Education in Secondary Schools","EDDIS",36,"Follow-up",01.09.18,31.08.21,201485,"TOPIC-18,TOPIC-7,TOPIC-15","Inclusion - equity,Early School Leaving / combating failure in education,Gender equality / equal opportunities"
"2018-1-FI01-KA201-047303","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2018-1-FI01-KA201-047303","APP","Raision kaupunki","Local Public body","Raisio","Varsinais-Suomi","Finland","KA201","Strategic Partnerships for school education",2018,"Improving Children's Learning Outcomes and Well-being","ICLO",36,"Follow-up",01.09.18,31.08.21,123065,"TOPIC-23,TOPIC-16,TOPIC-7","New innovative curricula/educational methods/development of training courses,Health and wellbeing,Early School Leaving / combating failure in education"
"2018-1-FI01-KA201-047311","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2018-1-FI01-KA201-047311","APP","RAUHANKASVATUSINSTITUUTTI RY INSTITUTET FOR FREDSFOSTRAN RF","Non-governmental organisation/association","HELSINKI","Helsinki-Uusimaa","Finland","KA201","Strategic Partnerships for school education",2018,"Safe Schools for All - Teachers Transforming Societies","SSfA",30,"Follow-up",01.09.18,28.02.21,276124,"TOPIC-18,TOPIC-33,TOPIC-9","Inclusion - equity,Romas and/or other minorities,Social dialogue"
"2018-1-FI01-KA201-047313","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2018-1-FI01-KA201-047313","APP","Kirkkoharjun koulu","School/Institute/Educational centre – General education (secondary level)","Kirkkonummi","Helsinki-Uusimaa","Finland","KA201","Strategic Partnerships for school education",2018,"Forests, water and energy - our interrelated trio of sustainable living",,24,"Follow-up",01.09.18,31.08.20,60931,"TOPIC-22,TOPIC-25,TOPIC-20","Natural sciences,Pedagogy and didactics,International cooperation, international relations, development cooperation"
"2018-1-FI01-KA202-047198","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2018-1-FI01-KA202-047198","APP","Axxell Utbildning AB","School/Institute/Educational centre – Vocational Training (secondary level)","Ekenäs","Helsinki-Uusimaa","Finland","KA202","Strategic Partnerships for vocational education and training",2018,"VET@Work - a Manual for implementing best practices of collaboration between VET and work","VET@Work",40,"Follow-up",01.09.18,31.12.21,327589,"TOPIC-23,TOPIC-25,TOPIC-72","New innovative curricula/educational methods/development of training courses,Pedagogy and didactics,Cooperation between educational institutions and business"
"2018-1-FI01-KA202-047204","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2018-1-FI01-KA202-047204","APP","Raision seudun koulutuskuntayhtymä","School/Institute/Educational centre – Vocational Training (secondary level)","Raisio","Varsinais-Suomi","Finland","KA202","Strategic Partnerships for vocational education and training",2018,"European Voice of Sales","EVS",36,"Follow-up",01.09.18,31.08.21,138130,"TOPIC-23,TOPIC-20,TOPIC-41","New innovative curricula/educational methods/development of training courses,International cooperation, international relations, development cooperation,Entrepreneurial learning - entrepreneurship education"
"2018-1-FI01-KA202-047210","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2018-1-FI01-KA202-047210","APP","VAASAN KAUPUNKI","School/Institute/Educational centre – Vocational Training (secondary level)","VAASA","Pohjanmaa","Finland","KA202","Strategic Partnerships for vocational education and training",2018,"LEAN FOR WORK AND LEAN FOR LIFE- Train the trainer to teach Lean skills in VET","#Leanskills",28,"Follow-up",01.09.18,31.12.20,114745,"TOPIC-23,TOPIC-3,TOPIC-19","New innovative curricula/educational methods/development of training courses,ICT - new technologies - digital competences,Intercultural/intergenerational education and (lifelong)learning"
"2018-1-FI01-KA202-047214","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2018-1-FI01-KA202-047214","APP","Helsingin kaupunki","Regional Public body","Helsinki","Helsinki-Uusimaa","Finland","KA202","Strategic Partnerships for vocational education and training",2018,"Mission Possible",,24,"Follow-up",01.09.18,31.08.20,95235,"TOPIC-16","Health and wellbeing"
"2018-1-FI01-KA202-047226","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2018-1-FI01-KA202-047226","APP","Keski-Pohjanmaan koulutusyhtymä","School/Institute/Educational centre – Vocational Training (secondary level)","Kokkola","Keski-Pohjanmaa","Finland","KA202","Strategic Partnerships for vocational education and training",2018,"DIME - Digital working life practices for Equine studies","DIME",32,"Follow-up",01.09.18,30.04.21,69825,"TOPIC-20,TOPIC-19,TOPIC-39","International cooperation, international relations, development cooperation,Intercultural/intergenerational education and (lifelong)learning,Open and distance learning"
"2018-1-FI01-KA202-047235","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2018-1-FI01-KA202-047235","APP","Kotkan-Haminan seudun koulutuskuntayhtymä","School/Institute/Educational centre – Vocational Training (secondary level)","Kotka","Kymenlaakso","Finland","KA202","Strategic Partnerships for vocational education and training",2018,"Green Data Center",,30,"Follow-up",01.10.18,31.03.21,177510,"TOPIC-3,TOPIC-23,TOPIC-13","ICT - new technologies - digital competences,New innovative curricula/educational methods/development of training courses,Environment and climate change"
"2018-1-FI01-KA202-047259","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2018-1-FI01-KA202-047259","APP","Kainuun ammattiopisto","School/Institute/Educational centre – Vocational Training (secondary level)","Kajaani","Kainuu","Finland","KA202","Strategic Partnerships for vocational education and training",2018,"Ensemble","Ensemble",32,"Follow-up",15.09.18,14.05.21,106402,"TOPIC-41,TOPIC-20,TOPIC-3","Entrepreneurial learning - entrepreneurship education,International cooperation, international relations, development cooperation,ICT - new technologies - digital competences"
"2018-1-FI01-KA202-047269","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2018-1-FI01-KA202-047269","APP","Perho Liiketalousopisto Oy","School/Institute/Educational centre – Vocational Training (secondary level)","Helsinki","Helsinki-Uusimaa","Finland","KA202","Strategic Partnerships for vocational education and training",2018,"TASTE EUROPE ON THE GO! - Experimenting Entrepreneurial eLearning Platform for the Success of International Pop-up Restaurant Business","Taste Europe on the Go!",34,"Follow-up",01.09.18,30.06.21,166054,"TOPIC-23,TOPIC-39,TOPIC-41","New innovative curricula/educational methods/development of training courses,Open and distance learning,Entrepreneurial learning - entrepreneurship education"
